

                             *[TYMNET]*

TYMNET ACCESS SORTED BY NODE #               9/25/1985            PAGE 1

NODE   CITY                 NODE #          DEN   ACCESS #       MODEM
3543   MARYSVILLE           OHIO            LOW   513/644-0096   BELL 212A    
3545   MONTGOMERY           ALABAMA         LOW   205/265-4570   VADIC 3467   
3546   MOBILE               ALABAMA         MED   205/343-8414   VADIC 3467   
3547   JACKSON              MISSISSIPPI     MED   601/355-9741   VADIC 3467   
3561   HOT SPRINGS          ARKANSAS        LOW   501/321-9741   VADIC 3467   
3561   LITTLE ROCK          ARKANSAS        MED   501/666-6886   VADIC 3467   
3566   TOLEDO               OHIO            MED   419/255-7790   VADIC 3467   
3567   CEDAR RAPIDS         IOWA            LOW   319/363-7514   VADIC 3467   
3601   MESA/PHOENIX         ARIZONA         HIGH  602/258-0554   2400 BPS     
3601   PHOENIX              ARIZONA         HIGH  602/258-0554   2400 BPS     
3603   COLORADO SPRINGS     COLORADO        MED   303/590-1003   VADIC 3467   
3603   PUEBLO               COLORADO        LOW   303/543-3313   VADIC 3467   
3604   TACOMA               WASHINGTON      LOW   206/272-1503   VADIC 3467   
3605   ARLINGTON/FT WORTH   TEXAS           MED   817/877-3630   VADIC 3467   
3605   FT WORTH             TEXAS           MED   817/877-3630   VADIC 3467   
3606   BONYTN BCH/WPALM BCH FLORIDA         MED   305/471-9310   VADIC 3467   
3606   W.PALM BEACH         FLORIDA         MED   305/471-9310   VADIC 3467   
3607   CHARLESTON           SOUTH CAROLINA  LOW   803/577-0452   VADIC 3467   
3607   SAVANNAH             GEORGIA         LOW   912/232-6751   VADIC 3467   
3623   ERIE                 PENNSYLVANIA    LOW   814/456-8501   VADIC 3467   
3624   GREENVILLE           NORTH CAROLINA  LOW   919/758-7854   VADIC 3467   
3624   RALEIGH              NORTH CAROLINA  LOW   919/829-0536   VADIC 3467   
3624   WILMINGTON           NORTH CAROLINA  LOW   919/343-0770   VADIC 3467   
3625   MERIDIAN             MISSISSIPPI     LOW   601/693-8216   VADIC 3467   
3625   VICKSBURG            MISSISSIPPI     LOW   601/634-6670   VADIC 3467   
3630   ALEXANDRIA           LOUISIANA       LOW   318/443-9544   VADIC 3467   
3630   LAFAYETTE            LOUISIANA       LOW   318/237-9500   VADIC 3467   
3630   LAKE CHARLES         LOUISIANA       LOW   318/436-1633   VADIC 3467   
3634   ASHEVILLE            NORTH CAROLINA  LOW   704/253-3873   VADIC 3467   
3634   GREENVILLE           SOUTH CAROLINA  MED   803/271-9213   VADIC 3467   
3643   HARRISBURG           PENNSYLVANIA    MED   717/763-6481   VADIC 3467   
3644   BRIDGEPORT           CONNECTICUT     MED   203/367-6021   VADIC 3467   
3644   STRATFORD/BRIDGEPRT  CONNECTICUT     MED   203/367-6021   VADIC 3467   
3645   ARLINGTON/FT WORTH   TEXAS           MED   817/877-3630   VADIC 3467   
3645   FT WORTH             TEXAS           MED   817/877-3630   VADIC 3467   
3651   GREEN BAY            WISCONSIN       LOW   414/432-3064   VADIC 3467   
3652   PEORIA               ILLINOIS        LOW   309/637-5961   VADIC 3467   
3653   FT WAYNE             INDIANA         LOW   219/422-2581   VADIC 3467   
3653   LIMA                 OHIO            LOW   419/224-2998   VADIC 3467   
3654   SOUTHFIELD           MICHIGAN        MED   313/424-8024   VADIC 3467   
3656   EVANSVILLE           INDIANA         LOW   812/464-8181   VADIC 3467   
3661   CHARLESTON           WEST VIRGINIA   LOW   304/345-9575   VADIC 3467   
3661   HUNTINGTON           WEST VIRGINIA   LOW   304/525-4406   VADIC 3467   
3661   PARKERSBURG          WEST VIRGINIA   LOW   304/428-8511   VADIC 3467   
3662   ALLENTOWN/BETHLEHEM  PENNSYLVANIA    MED   215/865-6978   VADIC 3467   
3662   BETHLEHEM            PENNSYLVANIA    MED   215/865-6978   VADIC 3467   
3662   SCRANTON             PENNSYLVANIA    LOW   717/346-4516   VADIC 3467   
3666   LANSING              MICHIGAN        MED   517/482-5721   VADIC 3467   
3670   SOUTHFIELD           MICHIGAN        MED   313/424-8024   VADIC 3467   
3673   CARSON CITY          NEVADA          MED   702/885-8411   VADIC 3467   
3673   RENO/CARSON CITY     NEVADA          MED   702/885-8411   VADIC 3467   
3675   ATTLEBORO            MASSACHUSETTS   LOW   617/226-4471   VADIC 3467   
3675   WORCESTER            MASSACHUSETTS   LOW   617/791-9000   VADIC 3467   
3703   HEMPSTEAD            NEW YORK        MED   516/485-7422   VADIC 3467   
3703   MINEOLA/HEMPSTEAD    NEW YORK        MED   516/485-7422   VADIC 3467   
3704   NIAGARA FALLS        NEW YORK        LOW   716/285-2561   VADIC 3467   
3705   ALBANY               NEW YORK        MED   518/458-8300   VADIC 3467   
3705   SCHNECTADY/ALBANY    NEW YORK        MED   518/458-8300   VADIC 3467   
3706   SAN FRANCISCO        CALIFORNIA      HIGH  415/974-1300   VADIC 3467   
3721   TUCSON               ARIZONA         MED   602/790-0764   VADIC 3467   
3724   BUFFALO              NEW YORK        MED   716/852-1077   2400 BPS     
3725   BUFFALO              NEW YORK        MED   716/845-6610   VADIC 3467   
3726   BILLINGS             MONTANA         LOW   406/252-4880   VADIC 3467   
3726   BOZEMAN              MONTANA         LOW   406/586-7638   VADIC 3467   
3726   GREAT FALLS          MONTANA         LOW   406/727-0100   VADIC 3467   
3727   YORK                 PENNSYLVANIA    MED   717/846-3900   VADIC 3467   
3731   MONROE               LOUISIANA       LOW   318/322-4109   VADIC 3467   
3731   SHREVEPORT           LOUISIANA       LOW   318/688-5840   VADIC 3467   
3736   NORCROSS             GEORGIA         HIGH  404/446-1508   2400 BPS     
3763   BOSTON               MASSACHUSETTS   HIGH  617/292-1900   VADIC 3467   
3763   CAMBRIDGE/BOSTON     MASSACHUSETTS   HIGH  617/292-1900   VADIC 3467   
3763   FRAMINGHAM           MASSACHUSETTS   LOW   617/620-1264   VADIC 3467   
3763   WOBURN               MASSACHUSETTS   LOW   617/935-2057   VADIC 3467   
3764   BOSTON               MASSACHUSETTS   HIGH  617/292-1900   VADIC 3467   
3764   BROCKTON             MASSACHUSETTS   LOW   617/584-6873   VADIC 3467   
4000   DAYTONA BEACH        FLORIDA         LOW   904/255-4783   VADIC 3467   
4000   LONGWOOD/ORLANDO     FLORIDA         MED   305/841-0020   VADIC 3467   
4000   ORLANDO              FLORIDA         MED   305/841-0020   VADIC 3467   
4004   AUBURN/ENUMCLAW      WASHINGTON      LOW   206/825-7720   VADIC 3467   
4004   BELLEVUE/SEATTLE     WASHINGTON      HIGH  206/285-0109   VADIC 3467   
4004   ENUMCLAW             WASHINGTON      LOW   206/825-7720   VADIC 3467   
4004   SEATTLE              WASHINGTON      HIGH  206/285-0109   VADIC 3467   
4004   YAKIMA               WASHINGTON      LOW   509/453-1591   VADIC 3467   
4025   MORRISTOWN           NEW JERSEY      LOW   201/539-1222   VADIC 3467   
4044   DANBURY              CONNECTICUT     LOW   203/797-9539   VADIC 3467   
4045   HUNTINGTON/MELVILLE  NEW YORK        MED   516/420-1221   VADIC 3467   
4045   MELVILLE             NEW YORK        MED   516/420-1221   VADIC 3467   
4045   RONKONKOMA           NEW YORK        MED   516/467-5178   VADIC 3467   
4100   SARASOTA             FLORIDA         LOW   813/365-6980   VADIC 3467   
4100   TAMPA                FLORIDA         MED   813/932-7070   VADIC 3467   
4105   FT. LAUDERDALE       FLORIDA         MED   305/463-0882   VADIC 3467   
4107   FRESNO               CALIFORNIA      LOW   209/442-4328   VADIC 3467   
4114   CEDAR FALLS/WATERLOO IOWA            LOW   319/236-9020   VADIC 3467   
4114   WATERLOO             IOWA            LOW   319/236-9020   VADIC 3467   
4117   GRAND RAPIDS         MICHIGAN        MED   616/459-2304   VADIC 3467   
4117   MUSKEGON             MICHIGAN        LOW   616/725-8136   VADIC 3467   
4121   ROANOKE              VIRGINIA        LOW   703/344-2762   VADIC 3467   
4122   MANCHESTER           NEW HAMPSHIRE   LOW   603/623-0409   VADIC 3467   
4131   CHEVY CHASE          MARYLAND        MED   301/652-0800   VADIC 3467   
4131   ROCKVILLE/CHEVYCHASE MARYLAND        MED   301/652-0800   VADIC 3467   
4141   TAMPA                FLORIDA         MED   813/933-6210   2400 BPS     
4153   SANTA ROSA           CALIFORNIA      LOW   707/527-6180   VADIC 3467   
4154   MANTEA               CALIFORNIA      MED   805/985-7843   VADIC 3467   
4154   OXNARD/MANTEA        CALIFORNIA      MED   805/985-7843   VADIC 3467   
4154   VENTURA/MANTEA       CALIFORNIA      MED   805/985-7843   VADIC 3467   
4165   LOS ALTOS/SNTA CLARA CALIFORNIA      HIGH  408/986-0646   2400 BPS     
4165   SAN JOSE/SANTA CLARA CALIFORNIA      HIGH  408/986-0646   2400 BPS     
4165   SANTA CLARA          CALIFORNIA      HIGH  408/986-0646   2400 BPS     
4165   SUNNYVALE/SNTA CLARA CALIFORNIA      HIGH  408/986-0646   2400 BPS     
4170   BAYTOWN              TEXAS           LOW   713/422-9746   VADIC 3467   
4170   HOUSTON              TEXAS           HIGH  713/556-6700   VADIC 3467   
4175   ALAMEDA/OAKLAND      CALIFORNIA      HIGH  415/430-2900   VADIC 3467   
4175   BERKELEY/OAKLAND     CALIFORNIA      HIGH  415/430-2900   VADIC 3467   
4175   CONCORD              CALIFORNIA      LOW   415/682-3851   VADIC 3467   
4175   HAYWARD/OAKLAND      CALIFORNIA      HIGH  415/430-2900   VADIC 3467   
4175   OAKLAND              CALIFORNIA      HIGH  415/430-2900   VADIC 3467   
4175   PLEASANT HILL/CNCRD  CALIFORNIA      LOW   415/682-3851   VADIC 3467   
4175   WALNUT CREEK         CALIFORNIA      LOW   415/938-9550   VADIC 3467   
4203   CHICAGO              ILLINOIS        HIGH  312/922-6571   2400 BPS     
4205   APPLETON/NEENAH      WISCONSIN       LOW   414/722-5580   VADIC 3467   
4205   NEENAH               WISCONSIN       LOW   414/722-5580   VADIC 3467   
4212   ALBUQUERQUE          NEW MEXICO      MED   505/242-8344   VADIC 3467   
4212   SANTA FE             NEW MEXICO      LOW   505/988-5953   VADIC 3467   
4220   AUBURN/LEWISTON      MAINE           LOW   207/786-0645   VADIC 3467   
4220   BANGOR               MAINE           LOW   207/947-1196   VADIC 3467   
4220   BREWER/BANGOR        MAINE           LOW   207/947-1196   VADIC 3467   
4220   PORTLAND             MAINE           LOW   207/775-5971   VADIC 3467   
4225   BENTON HARBOR        MICHIGAN        LOW   616/925-3134   VADIC 3467   
4225   ST. JOE/BENTON HRBR  MICHIGAN        LOW   616/925-3134   VADIC 3467   
4236   ANAHEIM/NEWPRT BEACH CALIFORNIA      HIGH  714/852-8141   2400 BPS     
4236   IRVINE/NEWPORT BEACH CALIFORNIA      HIGH  714/852-8141   2400 BPS     
4236   NEWPORT BEACH        CALIFORNIA      HIGH  714/852-8141   2400 BPS     
4236   SANTA ANA/NEWPRT BCH CALIFORNIA      HIGH  714/852-8141   2400 BPS     
4257   JACKSON              TENNESSEE       LOW   901/424-2114   VADIC 3467   
4257   JONESBORO            ARKANSAS        LOW   501/932-1147   VADIC 3467   
4257   MEMPHIS              TENNESSEE       MED   901/527-8006   VADIC 3467   
4262   ESCONDIDO/VISTA      CALIFORNIA      MED   619/941-6700   VADIC 3467   
4262   VISTA                CALIFORNIA      MED   619/941-6700   VADIC 3467   
4263   COVINA/DIAMOND BAR   CALIFORNIA      MED   714/594-4567   VADIC 3467   
4263   DIAMOND BAR          CALIFORNIA      MED   714/594-4567   VADIC 3467   
4263   ONTARIO/DIAMOND BAR  CALIFORNIA      MED   714/594-4567   VADIC 3467   
4263   POMONA/DIAMOND BAR   CALIFORNIA      MED   714/594-4567   VADIC 3467   
4263   W.COVINA/DIAMOND BAR CALIFORNIA      MED   714/594-4567   VADIC 3467   
4304   BLOOMFIELD           CONNECTICUT     HIGH  203/242-1986   2400 BPS     
4304   HARTFORD/BLOOMFIELD  CONNECTICUT     HIGH  203/242-1986   2400 BPS     
4305   PHILADELPHIA         PENNSYLVANIA    HIGH  215/557-9903   2400 BPS     
4311 * BLOOMINGTON          ILLINOIS        LOW   309/829-3745   VADIC 3467   
4311 * DECATUR              ILLINOIS        LOW   217/423-2876   VADIC 3467   
4311 * SPRINGFIELD          ILLINOIS        MED   217/525-8025   VADIC 3467   
4313   NORFOLK              VIRGINIA        MED   804/855-7751   VADIC 3467   
4313   PORTSMOUTH/NORFOLK   VIRGINIA        MED   804/855-7751   VADIC 3467   
4313   VIRGINIA BCH/NORFLK  VIRGINIA        MED   804/855-7751   VADIC 3467   
4316   MINNEAPOLIS          MINNESOTA       HIGH  612/333-2799   VADIC 3467   
4316   ST PAUL/MINNEAPOLIS  MINNESOTA       HIGH  612/333-2799   VADIC 3467   
4317   BISMARK              NORTH DAKOTA    LOW   701/223-6839   VADIC 3467   
4317   MANKATO              MINNESOTA       LOW   507/625-9481   VADIC 3467   
4317   MINOT                NORTH DAKOTA    LOW   701/838-1114   VADIC 3467   
4321   MINNEAPOLIS          MINNESOTA       HIGH  612/332-4024   2400 BPS     
4321   ST PAUL/MINNEAPOLIS  MINNESOTA       HIGH  612/332-4024   2400 BPS     
4330   LUBBOCK              TEXAS           LOW   806/797-0765   VADIC 3467   
4331   NASHVILLE            TENNESSEE       HIGH  615/885-3530   VADIC 3467   
4334   NASHVILLE            TENNESSEE       HIGH  615/889-5790   2400 BPS     
4360   RANCHO BERNARDO      CALIFORNIA      LOW   619/485-1990   VADIC 3467   
4360   SAN DIEGO            CALIFORNIA      HIGH  619/296-3370   VADIC 3467   
4361   SAN DIEGO            CALIFORNIA      HIGH  619/296-8747   2400 BPS     
4404   PISCATAWAY           NEW JERSEY      HIGH  201/981-1900   VADIC 3467   
4404   RAHWAY               NEW JERSEY      LOW   201/499-4747   VADIC 3467   
4405   HAMPTON/NEWPORT NEWS VIRGINIA        MED   804/596-7608   VADIC 3467   
4405   NEWPORT NEWS         VIRGINIA        MED   804/596-7608   VADIC 3467   
4405   WILLIAMSBURG         VIRGINIA        LOW   804/872-9592   VADIC 3467   
4406   ITHACA               NEW YORK        LOW   607/257-6601   VADIC 3467   
4415   BIRMINGHAM           ALABAMA         HIGH  205/942-7898   2400 BPS     
4417 * HONOLULU             HAWAII          MED   808/545-7610   VADIC 3467   
4417 * HONOLULU             HAWAII          MED   808/528-5300   2400 BPS     
4430   NEWARK/WILMINGTON    DELEWARE        MED   302/652-2060   VADIC 3467   
4430   WILMINGTON           DELAWARE        MED   302/652-2060   VADIC 3467   
4443 * COLUMBUS             GEORGIA         LOW   404/327-0597   VADIC 3467   
4444 * COLUMBUS             OHIO            HIGH  614/221-1612   2400 BPS     
4467   FREELAND             MICHIGAN        LOW   517/695-6751   VADIC 3467   
4467   MIDLAND/FREELAND     MICHIGAN        LOW   517/695-6751   VADIC 3467   
4467   SAGINAW/FREELAND     MICHIGAN        LOW   517/695-6751   VADIC 3467   
4501   DETROIT              MICHIGAN        HIGH  313/962-2870   VADIC 3467   
4515   NEW YORK             NEW YORK        HIGH  212/943-4700   VADIC 3467   
4516   NEW YORK             NEW YORK        HIGH  212/943-4700   VADIC 3467   
4524   NEW YORK             NEW YORK        HIGH  212/809-9660   2400 BPS     
4530   CLEVELAND            OHIO            HIGH  216/241-0024   VADIC 3467   
4542   FLINT                MICHIGAN        LOW   313/238-8917   VADIC 3467   
4542   PLYMOUTH             MICHIGAN        MED   313/451-2400   VADIC 3467   
4542   PORT HURON           MICHIGAN        LOW   313/984-5650   VADIC 3467   
4551   BOSTON               MASSACHUSETTS   HIGH  617/357-5052   2400 BPS     
4551   CAMBRIDGE/BOSTON     MASSACHUSETTS   HIGH  617/357-5052   2400 BPS     
4552   CLEVELAND            OHIO            HIGH  216/861-6709   2400 BPS     
4603   BELMONT/REDWOOD CITY CALIFORNIA      HIGH  415/366-1092   VADIC 3467   
4603   PALO ALTO/REDWD CITY CALIFORNIA      HIGH  415/366-1092   VADIC 3467   
4603   REDWOOD CITY         CALIFORNIA      HIGH  415/366-1092   VADIC 3467   
4620   CINCINNATI           OHIO            HIGH  513/489-3811   2400 BPS     
4666   CUMBERLAND           MARYLAND        LOW   301/777-5306   VADIC 3467   
4666   GREENSBURG           PENNSYLVANIA    LOW   412/838-7020   VADIC 3467   
4666   LATROBE/GREENSBURG   PENNSYLVANIA    LOW   412/838-7020   VADIC 3467   
4666   MORGANTOWN           WEST VIRGINIA   LOW   304/292-8251   VADIC 3467   
4666   NEW CASTLE           PENNSYLVANIA    LOW   412/654-1530   VADIC 3467   
4666   PITTSBURGH           PENNSYLVANIA    HIGH  412/642-6778   VADIC 3467   
4666   STATE COLLEGE        PENNSYLVANIA    LOW   814/231-1455   VADIC 3467   
4666 * YOUNGSTOWN           OHIO            LOW   216/744-0943   VADIC 3467   
4667   PITTSBURGH           PENNSYLVANIA    HIGH  412/642-2015   2400 BPS     
4672 * BINGHAMPTON          NEW YORK        LOW   607/772-8370   VADIC 3467   
4703   BROOKFIELD           WISCONSIN       HIGH  414/785-0630   2400 BPS     
4703   MILWAUKEE/BROOKFIELD WISCONSIN       HIGH  414/785-0630   2400 BPS     
4705 * NEW CITY             NEW YORK        LOW   914/638-0882   VADIC 3467   
4746   CHARLOTTESVILLE      VIRGINIA        LOW   804/293-4915   VADIC 3467   
4750   PROVO                UTAH            LOW   801/375-0645   VADIC 3467   
4751   FARGO                NORTH DAKOTA    LOW   701/280-0210   VADIC 3467   
4751   GRAND FORKS          NORTH DAKOTA    LOW   701/775-0531   VADIC 3467   
4752   SIOUX FALLS          SOUTH DAKOTA    LOW   605/335-0780   VADIC 3467   
4764   BELLEVILLE           ILLINOIS        LOW   618/277-9806   VADIC 3467   
4764   BRIDGETON/ST LOUIS   MISSOURI        HIGH  314/731-8002   VADIC 3467   
4764   JEFFERSON CITY       MISSOURI        LOW   314/634-8323   VADIC 3467   
4764   ST LOUIS             MISSOURI        HIGH  314/731-8002   VADIC 3467   
4765   BRIDGETON/ST LOUIS   MISSOURI        HIGH  314/731-8283   2400 BPS     
4765   ST LOUIS             MISSOURI        HIGH  314/731-8283   2400 BPS     
4770   OSHKOSH              WISCONSIN       LOW   414/235-7473   VADIC 3467   
5013 * RAPID CITY           SOUTH DAKOTA	   LOW   605/341-4007   VADIC 3467   
5021 * SIOUX CITY           IOWA            LOW   712/255-3834   VADIC 3467   
5022   TUSCALOOSA           ALABAMA         LOW   205/349-5670   VADIC 3467   
5044   COLUMBIA             MISSOURI        LOW   314/874-2771   VADIC 3467   
5063   CADILLAC             MICHIGAN        LOW   616/775-6089   VADIC 3467   
5063   MANISTEE             MICHIGAN        LOW   616/723-6071   VADIC 3467   
5063   TRAVERSE CITY        MICHIGAN        LOW   616/947-0050   VADIC 3467   
5072   SACRAMENTO           CALIFORNIA      HIGH  916/447-7434   2400 BPS     
5104   BARRE/MONTPELIER     VERMONT         LOW   802/223-3041   VADIC 3467   
5104   BURLINGTON           VERMONT         LOW   802/864-5714   VADIC 3467   
5104   MONTPELIER           VERMONT         LOW   802/223-3041   VADIC 3467   
5142 * NEW LONDON           CONNECTICUT     LOW   203/443-6997   VADIC 3467   
5206   WHITE PLAINS         NEW YORK        HIGH  914/328-7730   VADIC 3467   
5225   CASPER               WYOMING         LOW   307/234-4211   VADIC 3467   
5241 * EL SEGUNDO           CALIFORNIA      MED   213/640-1281   VADIC 3467   
5241   INGLEWOOD/VERNON     CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5241 * LOS ANGELES/VERNON   CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5241 * LOS ANGELES/VERNON   CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5241 * MAR VISTA/SEGUNDO    CALIFORNIA      MED   213/640-1281   VADIC 3467   
5241 * MARINADELREY/SEGUNDO CALIFORNIA      MED   213/640-1281   VADIC 3467   
5241 * SANTA MONICA/SEGUNDO CALIFORNIA      MED   213/640-1281   VADIC 3467   
5241   VERNON               CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5242 * EL SEGUNDO           CALIFORNIA      MED   213/640-1281   VADIC 3467   
5242   INGLEWOOD/VERNON     CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5242   LOS ANGELES/VERNON   CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5242   MAR VISTA/SEGUNDO    CALIFORNIA      MED   213/640-1281   VADIC 3467   
5242   MARINADELREY/SEGUNDO CALIFORNIA      MED   213/640-1281   VADIC 3467   
5242   SANTA MONICA/SEGUNDO CALIFORNIA      MED   213/640-1281   VADIC 3467   
5242   VERNON               CALIFORNIA      HIGH  213/587-0030   VADIC 3467   
5245   INGLEWOOD/VERNON     CALIFORNIA      HIGH  213/587-7514   2400 BPS     
5245 * LOS ANGELES/VERNON   CALIFORNIA      HIGH  213/587-7514   2400 BPS     
5245   VERNON               CALIFORNIA      HIGH  213/587-7514   2400 BPS     
5247   PHILADELPHIA         PENNSYLVANIA    HIGH  215/567-4390   VADIC 3467   
5251   MANHATTAN            KANSAS          LOW   913/776-0121   VADIC 3467   
5256   DURHAM               NEW HAMPSHIRE   LOW   603/868-1502   VADIC 3467   
5335   CATHEDRAL CITY       CALIFORNIA      LOW   619/324-0920   VADIC 3467   
5335   PALM SPRNGS/CATH CTY CALIFORNIA      LOW   619/324-0920   VADIC 3467   
5336   SALEM                OREGON          LOW   503/585-0182   VADIC 3467   
5341   ALAMEDA/OAKLAND      CALIFORNIA      HIGH  415/633-1896   2400 BPS     
5341   BERKELEY/OAKLAND     CALIFORNIA      HIGH  415/633-1896   2400 BPS     
5341 * OAKLAND              CALIFORNIA      HIGH  415/633-1896   2400 BPS     
5350 * ANTIOCH              CALIFORNIA      LOW   415/754-8222   VADIC 3467   
5362   EAU CLAIRE           WISCONSIN       LOW   715/832-1354   VADIC 3467   
5411   JOLIET               ILLINOIS        LOW   815/727-7691   VADIC 3467   
5412   LINCOLN              NEBRASKA        LOW   402/474-7481   VADIC 3467   
5413   AMARILLO             TEXAS           LOW   806/371-0031   VADIC 3467   
5414   CHAMPAIGN            ILLINOIS        LOW   217/359-1163   VADIC 3467   
5414   URBANA/CHAMPAIGN     ILLINOIS        LOW   217/359-1163   VADIC 3467   
5415   WICHITA FALLS        TEXAS           LOW   817/723-2386   VADIC 3467   
5441   SALINA               KANSAS          LOW   913/825-1586   VADIC 3467   
5441   WICHITA              KANSAS          MED   316/681-0832   VADIC 3467   
5500   AURORA/DENVER        COLORADO        HIGH  303/832-3447   2400 BPS     
5500   BOULDER/DENVER       COLORADO        HIGH  303/832-3447   2400 BPS     
5500   DENVER               COLORADO        HIGH  303/832-3447   2400 BPS     
5503 * MCALLEN              TEXAS           LOW   512/631-6101   VADIC 3467   
5525   WILKES BARRE         PENNSYLVANIA    LOW   717/826-8991   VADIC 3467   
5526   ALTOONA              PENNSYLVANIA    LOW   814/943-5848   VADIC 3467   
5530   GAINESVILLE          FLORIDA         LOW   904/378-4576   VADIC 3467   
5531   OCALA                FLORIDA         LOW   904/351-0305   VADIC 3467   
5537   COATESVILLE          PENNSYLVANIA    LOW   215/383-0440   VADIC 3467   
5537   DOWNINGTON/COATSVLLE PENNSYLVANIA    LOW   215/383-0440   VADIC 3467   
5641   SALT LAKE            UTAH            HIGH  801/533-8152   2400 BPS     
6014   LONGVIEW             TEXAS           LOW   214/236-4271   VADIC 3467   
6035   ENGLEWOOD CLIFFS     NEW JERSEY      MED   201/567-9841   VADIC 3467   
6035   FAIR LAWN/ENGLWD CLF NEW JERSEY      MED   201/567-9841   VADIC 3467   
6035   PARKRIDGE            NEW JERSEY      MED   201/391-7790   VADIC 3467   
6035   RIDGEWOOD/PRK RIDGE  NEW JERSEY      MED   201/391-7790   VADIC 3467   
6105   CHARLOTTE            NORTH CAROLINA  HIGH  704/377-0521   VADIC 3467   
6105   GASTONIA             NORTH CAROLINA  LOW   704/866-9095   VADIC 3467   
6301 + BELMONT/REDWOOD CITY CALIFORNIA      HIGH  415/361-8701   2400 BPS     
6301 + PALO ALTO/REDWD CITY CALIFORNIA      HIGH  415/361-8701   2400 BPS     
6301 + REDWOOD CITY         CALIFORNIA      HIGH  415/361-8701   2400 BPS     
6310   PATERSON/WAYNE       NEW JERSEY      MED   201/785-4480   BELL 113     
6310   WAYNE                NEW JERSEY      MED   201/785-4480   BELL 113     
6337 * WINSTON-SALEM        NORTH CAROLINA  MED   919/784-6080   VADIC 3467   
6341 * FAYETTEVILLE         NORTH CAROLINA  LOW   919/485-8161   VADIC 3467   
6342 * UTICA                NEW YORK        LOW   315/797-7001   VADIC 3467   
6343   SPARTANBURG          SOUTH CAROLINA  LOW   803/585-0016   VADIC 3467   
6344   EUREKA               CALIFORNIA      LOW   707/444-0491   VADIC 3467   
6401 * NEDERLAND            TEXAS           LOW   409/722-4166   VADIC 3467   
6401 * PT. ARTHUR/NEDERLAND TEXAS           LOW   409/722-4166   VADIC 3467   
6412 * ATHENS               GEORGIA         LOW   404/548-7006   VADIC 3467   
6465 * LAKELAND             FLORIDA         LOW   813/665-8582   VADIC 3467   
6465 * WINTERHAVEN/LAKELAND FLORIDA         LOW   813/665-8582   VADIC 3467   
6471   BUTTE                MONTANA         LOW   406/782-4202   VADIC 3467   
6473 * SPRINGFIELD          MISSOURI        LOW   417/869-4903   VADIC 3467   
6516   CHARLOTTE            NORTH CAROLINA  HIGH  704/374-0803   2400 BPS     
6520   STAMFORD             CONNECTICUT     HIGH  203/327-2974   2400 BPS     
6521 + WHITE PLAINS         NEW YORK        HIGH  914/761-9590   2400 BPS     
6523 * SPRINGFIELD          OREGON          LOW   503/746-0092   VADIC 3467   
6527 * NEW ORLEANS          LOUISIANA       HIGH  504/525-2014   2400 BPS     
6532 * NEW ORLEANS          LOUISIANA       HIGH  504/522-1370   VADIC 3467   
6545 * ROCHESTER            MINNESOTA       LOW   507/289-5599   VADIC 3467   
6546 * GARY                 INDIANA         LOW   219/885-0002   VADIC 3467   
6546 * HAMMOND/GARY         INDIANA         LOW   219/885-0002   VADIC 3467   
6546 * HIGHLAND/GARY        INDIANA         LOW   219/885-0002   VADIC 3467   
6547 * WACO                 TEXAS           LOW   817/753-0001   VADIC 3467   
6551 * BELLINGHAM           WASHINGTON      LOW   206/671-5990   VADIC 3467   
6563 * OLYMPIA              WASHINGTON      LOW   206/943-9050   VADIC 3467   
6564 * EVERETT              WASHINGTON      LOW   206/258-1018   VADIC 3467   
6565 * BURBANK              CALIFORNIA      LOW   818/846-9235   VADIC 3467   
6607 * FAYETTEVILLE         ARKANSAS        LOW   501/442-3850   VADIC 3467   
6607 * SPRINGDALE/FAYETVLLE ARKANSAS        LOW   501/442-3850   VADIC 3467   
6660 * ELMIRA               NEW YORK        LOW   607/737-9065   VADIC 3467   
6771 * FT SMITH             ARKANSAS        LOW   501/782-2486   VADIC 3467   
6774 * TOPEKA               KANSAS          LOW   913/234-3070   VADIC 3467   
6775 * AURORA               ILLINOIS        LOW   312/844-1800   VADIC 3467   
6775   ST CHARLES/AURORA    ILLINOIS        LOW   312/844-1800   VADIC 3467   
@]b
